# BH-FRW Full Evolution Sandbox v0.3
# log10(M/Msun)=22.5
# Om=0.3, Or=0.0001, H0=70
# log10(Ec2)=10, dTau=0.001, maxSteps=200000
# mode=QUANTUM, stopAtBounce=true
# OmegaL0=6.674188e-1, OmegaK=0.032481
# tau_today=0.954000 (where a=1)
# t_today_Gyr=13.326
# back_reason=bounce_boundary_reached, fwd_reason=a_stop_reached
# tau=0 at bounce; tau=tau_today at a=1 (today); tau increases into future
# ---
tau,a,E,E2_over_Ec2,mode
1.79000000e-1,2.81983396e-1,3.80415034e+0,1.44715598e-9,1
1.80000000e-1,2.83055252e-1,3.78375618e+0,1.43168109e-9,1
1.81000000e-1,2.84125420e-1,3.76359081e+0,1.41646158e-9,1
1.82000000e-1,2.85193916e-1,3.74365044e+0,1.40149187e-9,1
1.83000000e-1,2.86260753e-1,3.72393140e+0,1.38676651e-9,1
1.84000000e-1,2.87325947e-1,3.70443008e+0,1.37228022e-9,1
1.85000000e-1,2.88389512e-1,3.68514294e+0,1.35802785e-9,1
1.86000000e-1,2.89451461e-1,3.66606653e+0,1.34400438e-9,1
1.87000000e-1,2.90511809e-1,3.64719747e+0,1.33020494e-9,1
1.88000000e-1,2.91570569e-1,3.62853244e+0,1.31662477e-9,1
1.89000000e-1,2.92627756e-1,3.61006822e+0,1.30325926e-9,1
1.90000000e-1,2.93683382e-1,3.59180162e+0,1.29010389e-9,1
1.91000000e-1,2.94737461e-1,3.57372955e+0,1.27715429e-9,1
1.92000000e-1,2.95790006e-1,3.55584897e+0,1.26440619e-9,1
1.93000000e-1,2.96841031e-1,3.53815689e+0,1.25185542e-9,1
1.94000000e-1,2.97890547e-1,3.52065041e+0,1.23949793e-9,1
1.95000000e-1,2.98938568e-1,3.50332666e+0,1.22732977e-9,1
1.96000000e-1,2.99985106e-1,3.48618286e+0,1.21534709e-9,1
1.97000000e-1,3.01030174e-1,3.46921625e+0,1.20354614e-9,1
1.98000000e-1,3.02073784e-1,3.45242416e+0,1.19192326e-9,1
1.99000000e-1,3.03115948e-1,3.43580395e+0,1.18047488e-9,1
2.00000000e-1,3.04156679e-1,3.41935305e+0,1.16919753e-9,1
2.01000000e-1,3.05195987e-1,3.40306893e+0,1.15808781e-9,1
2.02000000e-1,3.06233885e-1,3.38694910e+0,1.14714242e-9,1
2.03000000e-1,3.07270385e-1,3.37099115e+0,1.13635813e-9,1
2.04000000e-1,3.08305497e-1,3.35519269e+0,1.12573180e-9,1
2.05000000e-1,3.09339234e-1,3.33955138e+0,1.11526034e-9,1
2.06000000e-1,3.10371606e-1,3.32406494e+0,1.10494078e-9,1
2.07000000e-1,3.11402625e-1,3.30873113e+0,1.09477017e-9,1
2.08000000e-1,3.12432302e-1,3.29354774e+0,1.08474567e-9,1
2.09000000e-1,3.13460647e-1,3.27851260e+0,1.07486449e-9,1
2.10000000e-1,3.14487672e-1,3.26362362e+0,1.06512391e-9,1
2.11000000e-1,3.15513386e-1,3.24887869e+0,1.05552128e-9,1
2.12000000e-1,3.16537802e-1,3.23427580e+0,1.04605399e-9,1
2.13000000e-1,3.17560928e-1,3.21981293e+0,1.03671953e-9,1
2.14000000e-1,3.18582776e-1,3.20548812e+0,1.02751541e-9,1
2.15000000e-1,3.19603355e-1,3.19129945e+0,1.01843922e-9,1
2.16000000e-1,3.20622676e-1,3.17724502e+0,1.00948859e-9,1
2.17000000e-1,3.21640749e-1,3.16332297e+0,1.00066123e-9,1
2.18000000e-1,3.22657584e-1,3.14953150e+0,9.91954867e-10,1
2.19000000e-1,3.23673190e-1,3.13586880e+0,9.83367314e-10,1
2.20000000e-1,3.24687578e-1,3.12233312e+0,9.74896413e-10,1
2.21000000e-1,3.25700756e-1,3.10892274e+0,9.66540060e-10,1
2.22000000e-1,3.26712735e-1,3.09563596e+0,9.58296199e-10,1
2.23000000e-1,3.27723524e-1,3.08247111e+0,9.50162818e-10,1
2.24000000e-1,3.28733132e-1,3.06942658e+0,9.42137953e-10,1
2.25000000e-1,3.29741569e-1,3.05650074e+0,9.34219679e-10,1
2.26000000e-1,3.30748844e-1,3.04369203e+0,9.26406118e-10,1
2.27000000e-1,3.31754965e-1,3.03099890e+0,9.18695431e-10,1
2.28000000e-1,3.32759942e-1,3.01841982e+0,9.11085819e-10,1
2.29000000e-1,3.33763784e-1,3.00595330e+0,9.03575523e-10,1
2.30000000e-1,3.34766499e-1,2.99359787e+0,8.96162821e-10,1
2.31000000e-1,3.35768097e-1,2.98135209e+0,8.88846030e-10,1
2.32000000e-1,3.36768586e-1,2.96921454e+0,8.81623501e-10,1
2.33000000e-1,3.37767974e-1,2.95718383e+0,8.74493622e-10,1
2.34000000e-1,3.38766270e-1,2.94525859e+0,8.67454815e-10,1
2.35000000e-1,3.39763483e-1,2.93343746e+0,8.60505535e-10,1
